,Avg. sheep,Avg. wolves
479,274.73,94.89
480,310.52,117.58
481,299.92,99.83
482,369.79,82.9
483,249.9,69.23
484,266.02,68.48
485,337.33,73.01
486,216.74,84.96
487,259.28,72.23
488,237.76,77.44
489,262.66,59.1
490,127.06,69.05
491,127.55,59.72
492,141.62,101.36
493,70.74,28.95
494,114.64,68.4
495,102.39,54.13
496,126.77,69.78
497,95.08,40.26
498,56.97,21.44
499,127.54,69.38
500,65.16,35.5
501,97.9,40.2
502,81.05,28.72
503,84.24,28.51
504,123.76,72.63
505,127.77,70.02
506,109.74,70.85
507,148.27,169.36
508,155.2,33.65
509,123.41,78.66
510,130.1,65.42
511,242.78,101.12
512,195.28,116.36
513,132.24,39.47
514,150.87,185.32
515,230.87,112.65
516,201.22,131.67
517,220.38,100.03
518,244.31,95.53
519,244.14,105.54
520,368.33,116.95
521,114.88,40.01
522,237.12,112.95
523,160.04,32.94
524,269.26,84.75
525,72.01,34.11
526,89.23,31.69
527,138.03,45.61
528,84.95,28.89
529,176.29,66.19
530,122.6,25.63
531,85.45,36.61
532,236.7,134.34
533,189.82,170.24
534,220.68,125.53
535,230.98,137.75
536,210.28,138.42
537,175.91,63.86
538,246.49,123.25
539,155.36,86.14
540,190.54,77.82
541,181.93,62.15
542,201.69,67.27
543,239.96,92.61
544,188.8,62.33
545,182.47,61.94
546,202.49,59.28
547,230.8,61.3
548,209.45,60.25
549,202.49,59.28
550,228.09,73.04
551,210.15,175.4
552,232.49,56.64
553,246.2,143.4
554,320.76,141.73
555,222.62,151.08
556,243.15,154.58
557,232.81,42.12
558,248.78,155.43
559,217.26,151.58
560,122.77,52.77
561,131.97,44.04
562,109.34,41.08
563,312.83,149.11
564,131.87,39.47
565,122.08,46.72
566,115.85,55.18
567,197.01,210.56
568,203.42,236.49
569,102.26,46.55
570,217.26,242.42
571,230.68,208.74
572,303.27,121.44
573,189.87,220.51
574,198.73,67.8
575,190.1,73.8
576,157.99,50.96
577,137.33,37.72
578,267.05,29.08
579,182.91,73.74
580,241.46,40.89
581,177.55,14.87
582,198.34,19.92
583,236.25,24.31
584,163.59,30.05
585,174.41,21.31
586,156.62,31.52
587,176.48,20.81
588,95.64,30.81
589,98.22,34.25
590,101.81,28.96
591,77.61,25.18
592,163.2,17.57
593,107.63,47.78
594,127.81,28.84
595,83.63,14.07
596,79.72,14.94
597,155.56,21.85
598,81.29,20.18
599,53.41,19.14
600,69.46,18.17
601,79.51,16.68
602,289.51,57.51
603,324.06,52.58
604,366.41,86.07
605,230.95,57.23
606,185.79,140.65
607,297.96,48.84
608,207.67,116.68
609,178.14,196.42
610,130.91,151.25
611,134.6,172.89
612,258.21,113.67
613,163.97,179.51
614,190.24,149.83
615,150.86,191.12
616,312.7,59.2
617,323.36,54.42
618,313.87,48.72
619,165.59,25.09
620,358.26,40.68
621,226.52,31.84
622,195.5,153.09
623,124.97,16.64
624,131.03,19.96
625,246.72,35.14
626,126.09,19.23
627,150.52,22.5
628,133.88,14.52
629,125.43,14.47
630,96.46,34.8
631,76.31,37.32
632,123.56,41.43
633,119.1,60.09
634,104.81,34.54
635,116.36,47.63
636,101.24,32.03
637,227.61,157.25
638,201.92,110.02
639,155.73,70.15
640,182.56,161.51
641,203.14,48.98
642,204.88,185.54
643,267.61,132.13
644,197.2,129.64
645,230.74,122.1
646,209.32,136.11
647,197.2,129.64
648,122.79,121.37
649,210.64,267.44
650,271.72,84.21
651,335.76,129.8
652,331.89,156.22
653,301.57,150.85
654,364.88,104.0
655,280.15,82.37
656,159.74,306.54
657,320.12,144.45
658,171.58,113.86
659,173.28,118.84
660,174.97,102.56
661,162.02,118.97
662,199.63,73.32
663,161.18,74.83
664,136.9,175.95
665,177.58,56.2
666,160.81,71.38
667,170.71,67.06
668,126.45,113.51
669,153.32,109.62
670,196.04,44.5
671,163.96,66.84
672,230.29,106.01
673,213.22,112.76
674,222.51,93.27
675,152.38,57.66
676,186.35,141.53
677,212.3,144.68
678,204.35,119.36
679,119.99,94.23
680,147.5,76.55
681,192.22,146.32
682,129.52,68.56
683,115.35,60.52
684,120.05,72.85
685,127.24,69.5
686,200.01,91.52
687,217.41,81.57
688,217.69,145.41
689,183.64,154.18
690,187.44,115.0
691,203.43,97.83
692,236.2,55.59
693,443.77,63.62
694,326.03,61.08
695,332.49,60.49
696,408.42,69.6
697,417.74,56.78
698,235.14,221.12
699,457.46,51.38
700,170.8,224.0
701,172.38,212.42
702,147.28,200.86
703,167.0,240.02
704,316.17,139.5
705,161.6,281.73
706,254.99,167.45
707,374.33,100.37
708,444.04,119.67
709,306.76,91.81
710,292.89,169.71
711,314.54,109.44
712,282.16,156.82
713,350.11,111.55
714,146.5,24.23
715,130.22,26.63
716,112.91,28.56
717,171.92,33.99
718,121.27,39.74
719,153.06,26.78
720,142.26,24.93
721,140.99,71.53
722,143.25,71.61
723,125.59,37.34
724,141.74,69.39
725,118.33,46.58
726,158.18,50.67
727,153.2,59.07
728,215.5,36.77
729,213.59,44.08
730,179.09,35.46
731,250.4,42.64
732,191.93,43.02
733,246.91,62.27
734,177.21,52.71
735,235.51,183.58
736,167.34,179.03
737,160.66,121.97
738,230.8,187.82
739,154.02,83.34
740,293.89,105.53
741,175.17,209.45
742,153.71,243.1
743,173.31,222.51
744,146.92,219.48
745,134.19,139.14
746,138.62,236.34
747,98.18,65.93
748,211.21,189.87
749,139.58,53.87
750,87.29,57.22
751,122.82,68.0
752,130.43,50.83
753,131.38,127.4
754,110.07,65.82
755,110.8,66.53
756,146.37,25.48
757,146.66,21.89
758,131.74,15.66
759,145.14,22.75
760,121.88,75.78
761,137.76,15.2
762,153.44,16.58
763,106.68,32.59
764,120.57,34.61
765,112.64,40.07
766,125.11,17.22
767,116.46,45.82
768,106.84,35.33
769,113.64,39.74
770,229.99,60.4
771,221.29,59.32
772,305.07,69.3
773,232.56,65.53
774,253.89,44.87
775,248.68,76.29
776,177.87,131.28
777,233.19,187.19
778,211.64,96.41
779,270.97,170.76
780,179.76,237.59
781,266.73,81.91
782,371.8,73.04
783,276.89,156.26
784,296.54,127.21
785,336.89,129.7
786,261.92,134.5
787,196.43,105.9
788,301.33,131.1
789,272.56,152.51
790,340.24,113.08
791,208.64,79.34
792,238.96,71.55
793,279.65,133.62
794,204.36,97.25
795,198.19,84.96
796,207.83,82.73
797,211.93,85.75
798,133.67,46.37
799,149.12,40.36
800,148.53,34.27
801,154.42,64.23
802,158.86,27.56
803,138.69,45.72
804,140.07,40.32
805,237.54,49.04
806,212.89,51.37
807,174.4,21.89
808,212.52,70.88
809,232.49,42.79
810,211.95,41.7
811,247.61,31.13
812,143.19,121.32
813,164.51,122.08
814,138.64,133.78
815,148.79,122.11
816,171.7,116.04
817,138.24,124.6
818,126.47,121.49
819,180.65,87.69
820,191.34,123.76
821,174.54,95.23
822,151.2,126.41
823,180.3,97.87
824,155.53,103.59
825,171.25,93.77
826,83.62,19.02
827,87.02,16.99
828,99.72,24.67
829,92.94,23.66
830,83.36,35.78
831,79.73,22.23
832,84.55,25.23
833,103.87,54.75
834,92.38,43.78
835,92.05,56.71
836,112.33,24.68
837,102.82,54.47
838,92.32,73.44
839,96.11,80.36
840,269.72,59.64
841,282.47,45.54
842,213.7,40.05
843,392.33,59.94
844,291.82,44.35
845,278.01,25.0
846,248.67,85.83
847,264.4,49.53
848,321.23,54.74
849,208.74,24.51
850,275.7,37.94
851,277.96,67.52
852,246.82,40.73
853,239.0,49.07
854,173.53,95.15
855,194.88,100.0
856,206.45,82.89
857,120.97,36.56
858,196.42,90.59
859,198.24,207.31
860,195.54,81.79
861,133.28,102.68
862,129.07,72.99
863,195.02,271.49
864,141.18,105.69
865,118.71,63.57
866,138.84,97.89
867,133.34,108.71
868,134.38,24.83
869,132.04,24.49
870,99.51,26.39
871,146.11,38.21
872,103.97,35.18
873,181.32,49.22
874,103.44,34.62
875,170.91,173.41
876,124.79,189.38
877,140.71,103.81
878,235.93,118.86
879,103.7,60.19
880,139.61,176.68
881,131.62,172.91
882,222.55,109.91
883,194.7,138.13
884,190.5,129.33
885,200.09,155.22
886,300.03,64.92
887,133.85,60.08
888,214.94,115.11
889,220.48,23.65
890,175.78,28.29
891,177.63,31.57
892,143.54,64.83
893,285.2,94.14
894,222.69,38.25
895,180.48,29.34
896,146.99,37.42
897,116.4,49.42
898,124.19,42.13
899,216.15,78.22
900,111.15,78.89
901,103.64,33.87
902,149.92,38.93
903,129.07,56.71
904,133.47,49.72
905,91.0,40.81
906,140.14,40.23
907,160.62,70.77
908,113.86,51.74
909,130.38,47.46
910,239.37,94.67
911,219.25,110.79
912,263.4,159.28
913,154.95,22.87
914,156.87,167.14
915,239.37,75.36
916,265.86,69.2
917,176.89,73.41
918,128.22,61.65
919,204.4,154.34
920,197.68,44.87
921,166.71,97.62
922,154.6,99.21
923,170.65,80.46
924,186.69,225.39
925,157.85,224.82
926,219.81,233.86
927,178.98,230.79
928,247.47,135.17
929,187.62,194.36
930,178.19,235.4
931,261.43,174.23
932,207.32,145.54
933,203.95,158.0
934,157.6,241.05
935,216.09,188.57
936,208.55,171.73
937,261.05,153.24
938,349.63,61.79
939,321.02,68.21
940,333.73,78.76
941,350.37,63.59
942,277.9,86.15
943,244.25,42.5
944,334.05,56.0
945,228.71,69.63
946,179.91,87.16
947,200.31,86.62
948,314.06,44.0
949,254.73,119.39
950,234.85,70.4
951,195.88,87.61
952,261.71,72.85
953,300.41,60.12
954,275.88,70.12
955,234.42,62.27
956,267.25,78.85
957,328.91,112.06
958,249.31,83.52
959,236.36,121.1
960,235.34,124.26
961,288.41,146.4
962,223.19,116.05
963,228.15,52.53
964,257.87,91.32
965,239.04,115.77
966,102.87,76.64
967,106.04,78.95
968,109.76,57.66
969,142.58,254.03
970,101.63,82.94
971,95.22,56.74
972,107.73,79.09
973,146.28,183.91
974,150.67,167.33
975,93.23,51.5
976,108.2,131.47
977,150.63,265.18
978,136.41,128.91
979,124.71,171.0
980,279.3,128.75
981,350.65,98.41
982,292.68,76.47
983,244.2,102.68
984,290.94,161.78
985,245.89,51.31
986,266.6,158.15
987,146.22,71.07
988,140.24,66.14
989,166.43,72.22
990,212.17,26.04
991,188.93,126.14
992,155.33,52.04
993,162.39,48.38
994,149.48,34.68
995,152.71,38.0
996,148.8,36.42
997,88.58,30.11
998,164.78,23.79
999,174.74,51.47
1000,124.49,44.23
1001,147.09,23.48
1002,123.61,20.14
1003,233.76,48.84
1004,138.79,46.0
1005,125.13,14.96
1006,153.65,23.99
1007,146.7,28.22
1008,245.61,202.7
1009,204.71,230.08
1010,171.09,174.5
1011,161.72,86.62
1012,189.77,244.71
1013,214.42,176.46
1014,270.67,159.21
1015,117.98,79.29
1016,165.78,70.26
1017,186.48,154.17
1018,132.22,50.5
1019,134.62,54.34
1020,131.37,67.76
1021,131.29,60.17
1022,128.71,63.65
1023,126.27,68.49
1024,150.66,78.75
1025,174.16,99.57
1026,156.74,26.87
1027,129.91,53.68
1028,126.03,68.75
1029,227.65,38.22
1030,246.49,24.94
1031,169.68,19.92
1032,127.29,72.85
1033,288.39,71.62
1034,296.42,17.86
1035,281.4,24.5
1036,206.99,24.16
1037,250.98,30.95
1038,206.99,24.16
1039,205.74,24.58
1040,243.39,34.84
1041,476.98,33.4
1042,242.98,35.88
1043,208.06,127.61
1044,279.53,129.06
1045,305.05,126.64
1046,264.35,121.64
1047,173.83,44.95
1048,368.17,62.82
1049,279.53,129.06
1050,154.66,144.71
1051,166.03,132.98
1052,154.66,144.71
1053,182.07,125.28
1054,170.1,156.74
1055,179.86,157.89
1056,211.76,92.98
1057,222.71,103.61
1058,183.19,148.95
1059,195.98,128.3
1060,195.0,124.08
1061,177.3,114.56
1062,148.99,172.98
1063,183.19,148.95
1064,127.38,75.26
1065,136.84,64.3
1066,141.72,88.53
1067,151.15,200.44
1068,160.84,26.15
1069,122.45,53.9
1070,141.22,57.42
1071,372.52,40.29
1072,362.59,30.49
1073,172.53,20.65
1074,306.66,65.0
1075,443.66,53.38
1076,302.87,97.4
1077,361.94,35.16
1078,129.43,25.83
1079,153.71,26.35
1080,169.39,24.48
1081,142.33,21.93
1082,97.18,45.85
1083,250.53,95.83
1084,148.98,23.09
1085,147.24,128.69
1086,157.29,116.07
1087,218.29,176.12
1088,177.02,92.9
1089,101.33,36.27
1090,161.13,115.28
1091,169.17,107.64
1092,163.98,60.86
1093,152.74,60.51
1094,158.46,66.16
1095,101.18,47.52
1096,157.73,64.92
1097,169.65,100.94
1098,106.37,90.23
1099,94.83,63.78
1100,100.52,66.44
1101,117.88,135.17
1102,95.04,50.94
1103,79.97,51.78
1104,99.35,44.32
1105,90.11,59.18
1106,185.47,190.79
1107,171.55,182.46
1108,216.82,232.96
1109,173.86,139.31
1110,208.27,173.51
1111,136.16,39.07
1112,232.87,143.67
1113,146.49,40.81
1114,116.57,43.81
1115,178.7,31.7
1116,145.48,34.62
1117,238.98,145.84
1118,120.48,42.64
1119,161.03,34.88
1120,247.24,42.76
1121,232.1,51.53
1122,213.19,61.11
1123,329.06,88.93
1124,144.1,105.79
1125,185.6,33.54
1126,216.68,70.44
1127,108.17,77.9
1128,155.05,85.53
1129,104.66,71.77
1130,222.61,36.76
1131,197.2,146.6
1132,129.67,86.25
1133,121.36,72.71
1134,295.71,123.29
1135,352.42,94.03
1136,291.44,143.61
1137,190.95,62.47
1138,337.17,105.5
1139,314.94,84.32
1140,159.46,248.76
1141,153.25,85.79
1142,156.35,79.09
1143,169.34,176.1
1144,131.29,108.9
1145,158.64,109.61
1146,185.62,40.61
1147,143.54,93.46
1148,123.61,34.83
1149,125.84,35.63
1150,95.3,31.34
1151,102.76,31.68
1152,129.47,22.58
1153,118.56,38.38
1154,120.2,41.05
1155,84.48,15.4
1156,115.04,19.67
1157,106.27,15.22
1158,86.0,26.43
1159,83.88,17.89
1160,84.86,14.73
1161,87.59,15.68
1162,109.05,83.86
1163,102.91,81.6
1164,105.84,78.68
1165,100.99,90.1
1166,138.94,61.97
1167,127.75,113.05
1168,139.39,77.57
1169,196.14,78.76
1170,232.79,44.14
1171,246.04,67.69
1172,183.9,84.33
1173,211.82,49.14
1174,148.7,111.89
1175,246.16,61.52
1176,121.89,72.59
1177,122.15,61.89
1178,150.96,71.25
1179,94.42,35.11
1180,156.68,67.66
1181,190.46,322.2
1182,145.46,44.21
1183,122.33,35.75
1184,161.87,50.16
1185,331.37,96.61
1186,122.54,46.33
1187,97.18,26.3
1188,114.84,60.21
1189,130.07,37.53
1190,207.51,51.13
1191,192.1,59.71
1192,235.81,79.77
1193,245.48,70.93
1194,147.6,120.24
1195,202.77,51.86
1196,199.39,61.5
1197,145.85,185.09
1198,154.33,162.64
1199,174.29,130.07
1200,240.56,109.75
1201,181.67,180.9
1202,210.74,101.36
1203,186.26,159.81
1204,286.98,175.88
1205,265.43,191.49
1206,286.98,175.88
1207,268.43,241.49
1208,251.23,190.44
1209,210.88,75.37
1210,198.48,236.43
1211,155.32,95.69
1212,139.92,117.46
1213,185.26,112.54
1214,147.17,79.2
1215,181.09,295.15
1216,169.26,81.57
1217,139.92,117.46
1218,148.55,24.12
1219,147.9,21.78
1220,148.55,24.12
1221,232.47,21.58
1222,150.39,22.5
1223,158.6,25.57
1224,150.63,20.66
1225,219.18,57.6
1226,207.59,68.12
1227,152.3,39.17
1228,214.38,56.28
1229,210.81,32.55
1230,157.1,105.14
1231,207.59,68.12
1232,194.55,56.88
1233,104.06,71.48
1234,119.16,74.98
1235,85.75,38.78
1236,134.91,87.06
1237,155.49,60.9
1238,121.5,83.72
1239,61.8,32.86
1240,76.41,38.77
1241,113.77,60.16
1242,64.25,30.36
1243,78.19,28.24
1244,72.69,30.38
1245,82.7,29.27
1246,137.21,33.51
1247,149.32,25.94
1248,172.26,32.5
1249,264.61,75.83
1250,142.15,32.42
1251,143.16,25.6
1252,147.69,27.22
1253,268.3,123.42
1254,275.36,67.55
1255,171.97,33.99
1256,276.3,92.27
1257,295.65,98.2
1258,335.06,69.71
1259,315.83,70.12
1260,220.26,255.39
1261,271.31,223.78
1262,263.03,235.72
1263,219.77,258.56
1264,307.06,198.94
1265,236.39,249.7
1266,331.5,144.96
1267,369.68,83.92
1268,369.63,94.29
1269,371.14,99.52
1270,352.09,102.23
1271,409.55,65.38
1272,264.79,187.5
1273,366.17,90.49
1274,160.75,85.31
1275,183.61,57.74
1276,151.43,79.06
1277,132.4,71.36
1278,106.01,118.16
1279,166.17,68.8
1280,170.42,68.28
1281,111.04,98.32
1282,126.62,84.37
1283,118.65,101.04
1284,159.46,49.85
1285,113.84,95.84
1286,115.68,92.9
1287,117.54,88.65
1288,87.61,17.79
1289,87.38,20.19
1290,97.11,16.41
1291,279.49,78.74
1292,82.52,16.18
1293,93.42,20.56
1294,90.09,17.02
1295,269.72,197.47
1296,259.5,168.53
1297,99.51,19.37
1298,269.02,178.27
1299,289.28,62.78
1300,312.28,164.21
1301,279.86,179.48
1302,209.96,80.26
1303,214.99,82.64
1304,218.8,93.41
1305,189.73,74.72
1306,230.6,64.74
1307,156.96,56.96
1308,201.71,97.89
1309,156.22,50.42
1310,161.15,51.15
1311,191.45,56.27
1312,174.1,57.4
1313,184.04,88.99
1314,172.82,44.73
1315,153.41,59.72
1316,241.53,28.0
1317,229.65,41.99
1318,195.18,27.18
1319,199.26,28.71
1320,145.79,113.85
1321,127.94,19.09
1322,230.71,39.91
1323,77.97,46.07
1324,75.3,41.44
1325,87.52,36.34
1326,115.29,17.87
1327,128.11,77.46
1328,89.57,39.49
1329,79.63,37.3
1330,162.25,45.28
1331,132.25,70.42
1332,127.48,54.71
1333,141.09,45.53
1334,177.21,42.86
1335,153.42,157.19
1336,127.83,48.53
1337,218.95,186.2
1338,216.4,133.88
1339,185.6,182.36
1340,172.1,167.38
1341,166.0,35.52
1342,197.53,145.56
1343,242.5,145.8
1344,128.05,171.88
1345,121.25,154.53
1346,128.05,171.88
1347,164.39,281.54
1348,114.45,186.73
1349,125.17,148.61
1350,164.82,142.25
1351,152.52,208.61
1352,145.45,209.64
1353,134.75,148.51
1354,161.36,210.46
1355,177.38,284.91
1356,139.23,216.42
1357,145.45,209.64
1358,202.87,61.54
1359,192.24,69.08
